,Description,Category,Meta_Url,Source Code,Repository,Languages
0," The AppFigures Python Sample Code by AppFigures demonstrates how to access the API. Resources include constants, key, requests &amp; responses. Results show products list, sales reports, and revenue table.","Applications, Analytics, Notifications, Reporting",https://www.programmableweb.com/sample-source-code/appfigures-python-sample-code-appfigures,http://docs.appfigures.com/code-samples,,Python
1, The MemberClicks PHP Sample Code by MemberClicks demonstrates how to interact with the REST API. Developers can experiment with the examples that include authentication and GET services.,"Subscriptions, Customer Relationship Management, Customer Service, Management",https://www.programmableweb.com/sample-source-code/memberclicks-php-sample-code-memberclicks,https://help.memberclicks.com/entries/23569022-Sample-PHP-code-for-REST-API,,PHP
2, The Yandex C# Sample Code by Yandex demonstrates how to obtain data about a client and how to call finance methods. An example available in C# language shows the generation of a finance token in string format and the serialization of credit limits in JSON format.,"Analytics, Advertising, Campaigns, Keywords",https://www.programmableweb.com/sample-source-code/yandex-c-sample-code-yandex,https://tech.yandex.com/direct/doc/dg-v4/examples/sc-json-docpage/,,C#
3," The Yandex Direct Python Sample Code by Yandex demonstrates how to authenticate with SSL and OAuth. It also displays how to call finance methods. The example available in Python language, shows how to create an invoice using a finance token.","Analytics, Advertising, Campaigns, Keywords",https://www.programmableweb.com/sample-source-code/yandex-direct-python-sample-code-yandex,https://tech.yandex.com/direct/doc/dg-v4/examples/python-json-docpage/,,Python
4, The Wootric iOS Sample Code by Wootric is a demo application which shows a way to implement the iOS SDK.,"Customer Relationship Management, Automation, Feedback, Real Time",https://www.programmableweb.com/sample-source-code/wootric-ios-sample-code-wootric,https://github.com/Wootric/WootricSDK-iOS/tree/master/WootricSDK-Demo,,Objective-C
5," The Rebilly PHP Sample Code by Rebilly shows a way to implement the Rebilly PHP SDK. It details how to create a client, and a customer.","Billing, Business, Subscriptions",https://www.programmableweb.com/sample-source-code/rebilly-php-sample-code-rebilly,https://github.com/Rebilly/rebilly-php#quick-examples,,PHP
6, The Verifalia Node.js Sample Code by Verifalia explains how to impelent the Verifalia API with any application. Email validation and batch deletion are detailed.,"Email, Data, Data Mining, Data-as-a-Service, eCommerce, Security, Validation",https://www.programmableweb.com/sample-source-code/verifalia-node.js-sample-code-verifalia,https://github.com/verifalia/verifalia-node-sdk#validate-an-email-address,,Node.js
7, The Verifalia C# Sample Code by Verifalia explains how to implement the Verifalia API with any application. It explains how to validate emails.,"Email, Data, Data Mining, Data-as-a-Service, eCommerce, Security, Validation",https://www.programmableweb.com/sample-source-code/verifalia-c-sample-code-verifalia,https://github.com/verifalia/verifalia-csharp-sdk#sample-usage,,C#
8, The Verifalia Ruby Sample Code by Verifalia explains how to implement the Ruby SDK with any application. Setup and email validation are detailed.,"Email, Data, Data Mining, Data-as-a-Service, eCommerce, Security, Validation",https://www.programmableweb.com/sample-source-code/verifalia-ruby-sample-code-verifalia,https://github.com/verifalia/verifalia-ruby-sdk#getting-started-with-rest,,Ruby
9, The Verifalia PHP Sample Code by Verifalia explains a way to implement the Verifalia API. Email validation is detailed.,"Email, Data, Data Mining, Data-as-a-Service, eCommerce, Security, Validation",https://www.programmableweb.com/sample-source-code/verifalia-php-sample-code-verifalia,https://github.com/verifalia/verifalia-php-sdk#sample-usage,,PHP
10," The Avalara PHP Sample Code by Avalara demonstrates API communication, providing references to obtain tax information and validate addresses. Additional resources include PHP 5.3, cURL, and root certificate as dependencies &amp; account number and license key as requirements.","Taxes, Automation, Compliance, Sales",https://www.programmableweb.com/sample-source-code/avalara-php-sample-code-avalara,https://github.com/avadev/AvaTax-Calc-REST-PHP,,PHP
11," The Avalara JavaScript Sample Code by Avalara demonstrates how to interact with the API to implement sales taxes features into applications. Methods include get tax and validate address. Examples cover tax test, estimate tax, and address test.","Taxes, Automation, Compliance, Sales",https://www.programmableweb.com/sample-source-code/avalara-javascript-sample-code-avalara,https://github.com/avadev/AvaTax-Calc-REST-JavaScript,,JavaScript
12," The Avalara iOS Sample Code by Avalara demonstrates how to interact with the API to implement sales taxes features into application, useful to automate compliance requests. References explain how to add the SDK in an XCode project via GitHub or via static library.","Taxes, Automation, Compliance, Sales",https://www.programmableweb.com/sample-source-code/avalara-ios-sample-code-avalara,https://github.com/avadev/AvaTax-Calc-SDK-iOS,,Objective-C
13," The Avalara C# Sample Code by Avalara demonstrates API interaction to integrate sales taxes features into applications. To experiment with the sample, developers need .NET 4.0 or higher. Contents include tax estimation, address validation, and app configuration.","Taxes, Automation, Compliance, Sales",https://www.programmableweb.com/sample-source-code/avalara-c-sample-code-avalara,https://github.com/avadev/AvaTax-Calc-REST-csharp,,C#
14," The Avalara Java Sample Code by Avalara demonstrates REST methods of tax, get, validate, and cancel to interact with the API. Developers can implement Avalara features into applications related to sales taxes to automate compliance processes.","Taxes, Automation, Compliance, Sales",https://www.programmableweb.com/sample-source-code/avalara-java-sample-code-avalara,https://github.com/avadev/AvaTax-Calc-REST-java,,Java
15," The Clio Ruby Sample Code by Clio demonstrates how to interact with the API, showing examples to authenticate, return data, and submit a client form. Authored by Tys von Gaza on GitHub.","Law, Documents, Invoicing, Scheduling",https://www.programmableweb.com/sample-source-code/clio-ruby-sample-code-clio,https://github.com/clio/clio-api-demos/tree/master/client_intake,,Ruby
16," The Acuity Scheduling Shell Sample Code by Acuity Scheduling allows to get started with the API to implement scheduling features into applications. Additional integration resources include OAuth2, webhooks, and CSS customization.","Scheduling, Calendars, Forms, Notifications",https://www.programmableweb.com/sample-source-code/acuity-scheduling-shell-sample-code-acuity-scheduling,https://developers.acuityscheduling.com/v1.1/docs/embedding,,Objective-C
17," The Acuity Scheduling PHP Sample Code by Acuity Scheduling allows to get started with the API to implement scheduling features into business applications. Users can benefit from this product with calendars, forms, and notifications available as part of Acuity Scheduling service.","Scheduling, Calendars, Forms, Notifications",https://www.programmableweb.com/sample-source-code/acuity-scheduling-php-sample-code-acuity-scheduling,https://developers.acuityscheduling.com/v1.1/docs/embedding,,PHP
18," The SynapsePay Node.js Sample Code by SynapsePay explains a way to implement the SynapsePay API. Function callbacks, and transaction calls are explained.","Payments, Banking, Billing, Financial, Invoicing",https://www.programmableweb.com/sample-source-code/synapsepay-node.js-sample-code-synapsepay,https://github.com/synapsepay/SynapsePayRest-Node/blob/master/samples.md,,Node.js
